Controller,이름,Method,URL
todo,할 일 생성,POST,/todo
todo,할 일 전체 조회,GET,/todo/list
todo,할 일 상세 조회,GET,/todo/{todo_id}
todo,할 일 수정,PATCH,/todo/{todo_id}
todo,할 일 삭제,DELETE,/todo/{todo_id}
todo,할 일 체크,POST,/todo/{todo_id}/ckeck
todo,할 일 체크 해제,POST,/todo/{todo_id}/unckeck
Member,유저 로그인,POST,/member/login
Member,유저 로그아웃,POST,/member/logout
Member,유저 회원가입,POST,/member/register
friend,친구 찾기,GET,/friend/search?username={username}
friend,친구 팔로우,POST,/friend/follow/{user_id}
friend,친구 언팔로우,DELETE,/friend/unfollow/user_id}
friend,나의 친구 리스트 조회,GET,/friend
friend,특정 친구의 할 일 조회,GET,/friend/{user_id}/todos
